Threshold	Country	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
extreme	China	409.0678885	348.0361756	295.4068778	244.5058785	225.6037636	205.6995458	194.0619575	172.0002596	149.5750585	106.1906731	87.3899665	25.16345664	18.50148069	9.994845685	8.086396529	6.036889351	4.639330915	3.699192325
extreme	RoEAP	109.2633973	106.5528201	106.1706299	95.69697331	106.3329261	90.27586696	86.3007922	73.11624038	63.55408465	56.40041681	51.51167686	44.53008175	39.34125069	34.37363496	31.21906834	27.90296008	24.20490607	21.86755119
moderate	China	332.6678315	333.691625	330.3081964	322.3515775	299.8167369	275.8574388	261.751828	247.8688267	232.2059485	209.4110509	184.775076	138.9437854	110.9559939	85.65715863	73.13969249	57.38035331	44.53074137	34.64865624
moderate	RoEAP	169.9176967	166.2904591	164.4206829	167.1596828	163.0332732	157.9803592	157.5991757	152.8997775	136.3220351	132.4506294	132.5391825	130.2831683	125.5830692	112.7975167	108.8894268	100.3518649	94.02059653	88.55934317
vulnerable	China	292.0252127	315.6509212	335.8116235	354.6206893	352.228586	348.0883651	345.205093	339.9671935	332.8875936	344.9755902	326.327912	328.980855	300.1636695	277.8854022	259.5560978	233.3159825	210.7492503	185.369739
vulnerable	RoEAP	127.650636	133.1466517	135.9557769	140.7433944	137.2340048	148.0192864	155.1623913	158.3521443	158.6731907	157.1664514	160.082667	160.2745876	163.041459	169.3571484	164.2720586	163.5204543	163.7340241	161.608155
secure	China	227.2697772	265.2648859	302.2945634	342.5907939	380.707809	420.9474302	446.5412005	476.6616713	508.2870643	551.7973137	590.1186455	664.757043	694.136008	724.312184	734.4313506	741.3820009	738.3141232	734.1628935
secure	RoEAP	99.44260149	105.8816384	110.704373	117.0603763	118.3811419	132.8129901	135.1671883	152.5326715	178.2981191	193.4248617	197.2729827	207.7981129	220.0882321	231.7430522	246.8283661	259.3574407	269.7059465	280.5963686
middle_class	China	18.68030425	24.88047591	31.18681929	38.36574949	50.58872341	64.32114626	73.5183525	89.94842341	108.5166987	124.8874961	153.709091	191.662056	229.1517613	263.7466801	292.0264057	333.8766416	376.6345794	417.751508
middle_class	RoEAP	24.80747652	26.09185376	27.49269192	30.94399377	33.42192114	36.31672982	37.88833161	42.03203052	48.63233739	52.88944387	57.89232707	63.6230665	65.52442249	71.68063067	75.54894732	81.78985432	87.21609773	92.30282415
above_mc	China	0.688985801	0.875916319	1.066919547	1.285311342	2.074381055	2.971073894	3.5765685	4.813625448	6.232636311	6.86787596	8.374309	7.872804	11.36108653	9.623729311	11.42505685	14.40313232	17.86197483	21.66301093
above_mc	RoEAP	14.80591411	15.24666596	15.71687643	16.06666738	16.43287097	16.55882048	16.9929319	17.41448881	18.23865608	18.9181658	19.61429082	20.12032796	20.7089024	21.85188503	22.39091588	23.41303257	24.49561408	25.37875787
