Country,Year,Subnatid1,adm1_code,pov190,pov320,pov550,education attainment,education enrollment,water,sanitation,
Cambodia,2012,Cambodia,44,-1,-1,-1,-1,-1,-1,-1,
CHN,2015,China,147295,0.72803,6.96697,27.2125,-1,-1,-1,-1,
FJI,2013,1-Central,40187,1.143773,11.22792,42.05398,0.5398288,1.421129,3.482268,3.039185,
FJI,2013,2-Eastern,40188,1.03851,14.80331,55.62375,0.8779427,0.4143682,7.264393,3.726724,
FJI,2013,3-Northern,40189,0.9365205,21.67894,63.25875,0.9813005,1.589691,11.31545,13.3568,
FJI,2013,4-Western,40190,1.812019,13.9419,48.8739,0.4115835,1.517468,12.62595,9.667939,
FSM,2013,Federated States of Micronesia (National),163,16.07748,39.56607,69.66567,8.88374,28.11263,5.0547,42.94709,
IDN,2017,1-Sumatra,1512,2.490452,20.57317,57.64409,3.489073,1.40568,22.3738,19.40644,
IDN,2017,2-Java and Bali,1513,6.30609,29.49652,59.28756,3.963339,1.206649,7.345029,13.43438,
IDN,2017,3-Kalimantan,1522,1.23128,13.28428,48.01954,4.901436,2.052885,36.09985,20.01812,
IDN,2017,4-Sulawesi,1532,10.38233,33.55475,61.80799,4.830997,2.774688,13.52808,21.43782,
IDN,2017,5-Nusa Tenggara,1528,12.89974,42.9589,73.16365,8.086603,2.11786,16.73387,24.72766,
IDN,2017,6-Maluku,1529,2.272572,23.42369,62.87445,3.188648,1.576074,15.99337,28.8138,
KIR,2006,Kiribati (National),135,12.94398,34.73714,69.46334,2.468296,10.94092,38.90968,39.60935,
IDN,2017,7-Papua,73612,8.116122,29.20827,49.73102,15.51582,11.91792,39.33644,44.53166,
LAO,2012,1-Vientiane,1768,5.668478,28.95629,64.35793,1.965078,0.4453064,82.14269,1.147459,
LAO,2012,2-North,1754,25.17257,65.262,90.1824,17.82701,4.581454,23.2609,35.84019,
LAO,2012,3-Central,1755,22.75299,61.08071,87.00006,12.56965,6.525178,48.85532,28.61555,
LAO,2012,4-South,1766,28.80458,61.90334,85.97225,15.06478,9.009279,45.83396,50.25599,
Malaysia,2016,Malaysia,153,0.02859265,0.595247933,5.307065333,5.192699667,55.60773333,-1,-1,
MMR,2015,Myanmar,171,7.4267,30.92936,67.36694,18.34219,14.003,30.768456,22.59039,
MNG,2016,1-West,2076,0.42938,8.099319,37.15783,3.478844,5.798733,31.11433,23.30704,
MNG,2016,2-Highlands,2091,0.1661508,5.992723,35.12376,3.665884,3.146663,31.20483,14.0913,
MNG,2016,3-Central,2079,0.5371253,6.092381,27.59918,9.93315,2.824114,11.27338,13.74092,
MNG,2016,4-East,2093,1.070656,11.16168,45.00158,5.971145,3.575226,14.60074,12.61005,
MNG,2016,5-Ulaanbaatar,2095,0.5483146,5.527276,25.5836,6.267703,2.419571,0.0786249,1.647739,
PHL,2015,Autonomous region in Muslim Mindanao (ARMM),67156,17.31091,63.83252,90.86224,14.17594,12.43256,46.39035,30.84299,
PHL,2015,Cordillera Administrative region (CAR),2354,5.348327,25.14389,51.06675,3.307671,3.60637,8.586142,10.3431,
PHL,2015,National Capital region (NCR),2355,0.5150262,5.800498,30.19864,0.6260065,3.346353,0.5694801,0.526235,
PHL,2015,Region I (Ilocos region),2356,2.217984,18.94595,52.997,1.538271,2.941823,7.585131,2.930051,
